DISTRICT_NAME,DISTRICT_CODE,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL
Abby Kelley Foster Charter Public (District),04450000,25489056.09,1421.40,17932.99,25489056.09,1421.40,17932.99
Lenox,01520000,18656117.00,779.10,23945.22,19606638.70,814.10,24084.74
Match Charter Public School (District),04690000,37549911.00,1157.60,32438.85,37549911.00,1157.60,32438.85
South Shore Charter Public (District),04880000,19180784.08,1060.20,18091.84,19180784.08,1060.20,18091.84
Chelmsford,00560000,89278159.40,5137.80,17376.80,99650306.34,5345.80,18640.78
Middleton,01840000,16258412.00,725.90,22396.22,16995031.00,735.40,23109.91
Farmington River Reg,06620000,5910803.84,127.60,46333.00,8120076.88,253.50,32033.27
Dudley-Charlton Reg,06580000,57966230.00,3478.10,16665.90,62704492.11,3568.40,17572.38
Ayer Shirley School District,06160000,31930215.21,1703.90,18739.49,36220909.64,1905.00,19013.92
Codman Academy Charter Public (District),04380000,11192024.30,339.90,32927.40,11192024.30,339.90,32927.40
Gloucester,01070000,66215844.29,2921.70,22663.38,74223992.36,3221.60,23039.33
Brookfield,00450000,4784202.78,301.10,15886.74,5583276.19,314.40,17757.13
Hingham,01310000,75344741.06,3679.10,20479.31,81645281.89,3738.80,21837.40
New Salem-Wendell,07280000,3792417.00,137.70,27551.16,3869820.00,147.70,26209.41
Bourne,00360000,37933450.94,1543.90,24569.62,43904791.33,1817.30,24159.93
Clarksburg,00630000,3136041.09,208.00,15078.73,4096021.82,262.40,15609.64
Southeastern Regional Vocational Technical,08720000,39916984.00,1564.80,25508.78,39921984.00,1565.80,25495.68
Plainville,02380000,12873610.43,649.10,19833.69,14019978.01,689.80,20325.98
Boston Renaissance Charter Public (District),04810000,21376286.00,937.80,22794.56,21376286.00,937.80,22794.56
Quincy,02430000,198270671.60,9787.70,20257.11,220394539.50,10093.80,21834.54
Greater Commonwealth Virtual District,39010000,16658908.82,1204.30,13832.40,16658908.82,1204.30,13832.40
Middleborough,01820000,58287141.96,2983.60,19536.17,63586845.50,3169.20,20064.07
Dighton-Rehoboth,06500000,47064873.00,2584.90,18207.74,50237123.62,2683.60,18720.05
Norton,02180000,46609733.64,2395.50,19457.11,52378688.11,2496.80,20978.19
Millbury,01860000,33148289.80,1658.10,19991.20,36539063.61,1746.80,20917.87
Martha's Vineyard,07000000,28301378.00,734.60,38526.83,32040255.00,778.80,41142.71
Medfield,01750000,49988382.10,2486.00,20107.96,52369483.10,2507.30,20886.94
North Middlesex,07350000,55749317.69,2987.30,18662.32,65655757.64,3195.20,20548.10
Wales,03060000,2559006.54,92.90,27542.52,3177527.65,122.10,26017.35
Alma Del Mar Charter School (District),04090000,18612133.52,1038.80,17917.30,18612133.52,1038.80,17917.30
Provincetown,02420000,7413838.02,139.70,53061.27,7977407.00,159.90,49884.08
Monomoy Regional School District,07120000,44299178.00,1731.40,25585.84,47684968.69,1869.20,25510.43
Stoughton,02850000,72769567.00,3807.40,19112.72,81095029.03,4015.80,20194.10
Belchertown,00240000,36985235.11,2067.80,17886.42,40404666.93,2265.00,17838.71
Bridgewater-Raynham,06250000,90799787.39,5630.90,16125.14,98552168.51,5871.90,16783.64
Quaboag Regional,07780000,23544949.82,1116.30,21091.33,26215097.60,1250.20,20968.46
Carlisle,00510000,14744260.00,605.40,24354.13,15164201.00,612.40,24761.47
Abington,00010000,36629465.76,2142.50,17096.69,42261274.01,2287.70,18473.06
Newton,02070000,301725884.40,11764.70,25646.73,316628861.60,11918.00,26567.23
Orleans,02240000,6021523.00,144.00,41825.81,6235225.00,154.00,40478.25
