DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED
Advanced Math and Science Academy Charter (District),04300000,125,100.00,0.00,0.00,0.00,0.00,0.00
Harvard,01250000,88,95.50,4.50,0.00,0.00,0.00,0.00
Swampscott,02910000,169,93.50,4.10,0.00,0.60,1.80,0.00
Wachusett,07750000,489,93.90,3.50,0.00,0.40,2.20,0.00
Hampden-Wilbraham,06800000,245,95.90,0.80,0.80,0.80,1.60,0.00
Melrose,01780000,251,97.60,1.60,0.00,0.00,0.40,0.40
Boston Collegiate Charter (District),04490000,74,94.60,5.40,0.00,0.00,0.00,0.00
Atlantis Charter (District),04910000,80,93.80,2.50,0.00,0.00,3.80,0.00
Blackstone-Millville,06220000,99,91.90,3.00,0.00,0.00,5.10,0.00
Granby,01110000,52,100.00,0.00,0.00,0.00,0.00,0.00
South Shore Regional Vocational Technical,08730000,164,98.20,0.00,0.00,0.00,1.80,0.00
Foxborough,00990000,199,95.00,3.50,0.00,0.50,1.00,0.00
Fairhaven,00940000,151,94.00,3.30,0.00,0.70,2.00,0.00
Groton-Dunstable,06730000,170,95.30,4.10,0.60,0.00,0.00,0.00
Canton,00500000,232,94.80,2.60,0.00,0.40,1.70,0.40
Clinton,00640000,130,90.00,6.20,0.80,0.80,2.30,0.00
Ware,03090000,86,89.50,4.70,0.00,0.00,5.80,0.00
Carver,00520000,95,95.80,3.20,0.00,0.00,1.10,0.00
Brooke Charter School (District),04280000,105,90.50,1.90,0.00,1.90,5.70,0.00
Freetown-Lakeville,06650000,176,96.00,2.80,0.60,0.00,0.60,0.00
Randolph,02440000,198,85.90,5.60,0.50,0.00,8.10,0.00
Chelmsford,00560000,347,96.00,1.20,0.00,0.30,2.60,0.00
KIPP Academy Lynn Charter (District),04290000,126,97.60,0.80,0.00,0.00,1.60,0.00
Academy Of the Pacific Rim Charter Public (District),04120000,43,97.70,0.00,0.00,0.00,2.30,0.00
Foxborough Regional Charter (District),04460000,86,96.50,1.20,0.00,0.00,2.30,0.00
Northampton-Smith Vocational Agricultural,04060000,145,96.60,0.70,0.00,0.70,1.40,0.70
Collegiate Charter School of Lowell (District),35030000,58,82.80,1.70,0.00,1.70,13.80,0.00
Haverhill,01280000,549,86.70,4.70,0.40,0.40,7.80,0.00
TEC Connections Academy Commonwealth Virtual School District,39020000,681,45.70,12.90,0.30,6.60,34.20,0.30
Map Academy Charter School (District),35170000,61,27.90,63.90,0.00,0.00,8.20,0.00
Somerset Berkley Regional School District,07630000,222,93.70,3.20,0.50,0.00,2.70,0.00
Northboro-Southboro,07300000,299,97.70,1.30,0.00,0.00,1.00,0.00
Ma Academy for Math and Science,04680000,49,100.00,0.00,0.00,0.00,0.00,0.00
Pentucket,07450000,154,98.10,0.60,0.00,0.00,1.30,0.00
Ralph C Mahar,07550000,83,80.70,4.80,0.00,2.40,12.00,0.00
Pioneer Valley,07500000,37,97.30,0.00,0.00,0.00,2.70,0.00
Triton,07730000,156,92.90,3.80,0.00,0.00,3.20,0.00
Pioneer Valley Chinese Immersion Charter (District),04970000,34,100.00,0.00,0.00,0.00,0.00,0.00
Pioneer Charter School of Science (District),04940000,53,100.00,0.00,0.00,0.00,0.00,0.00
Seekonk,02650000,154,96.80,1.30,0.00,0.60,1.30,0.00
Pioneer Charter School of Science II (District),35060000,44,93.20,4.50,0.00,0.00,2.30,0.00
Nauset,06600000,206,96.10,2.90,0.00,0.00,1.00,0.00
Excel Academy Charter (District),04100000,163,95.10,2.50,0.60,0.00,1.80,0.00
Holliston,01360000,206,95.10,3.90,0.00,0.00,1.00,0.00
Pioneer Valley Performing Arts Charter Public (District),04790000,69,94.20,0.00,0.00,1.40,4.30,0.00
Malden,01650000,528,85.20,5.30,0.00,0.40,9.10,0.00
Franklin,01010000,393,97.70,2.00,0.00,0.00,0.30,0.00
State Totals,00000000,76414,89.30,4.30,0.20,0.30,5.80,0.00
Pittsfield,02360000,437,79.20,6.40,0.20,1.40,12.80,0.00
Middleborough,01820000,223,88.80,4.50,0.00,0.00,6.70,0.00
Bristol County Agricultural,09100000,150,98.00,0.00,0.00,0.70,1.30,0.00
Brookline,00460000,555,95.90,2.20,0.00,0.40,1.60,0.00
New Bedford,02010000,861,79.90,5.10,0.30,0.90,13.70,0.00
Millbury,01860000,128,93.80,2.30,0.00,0.80,3.10,0.00
Watertown,03140000,209,87.60,4.80,0.00,0.00,7.70,0.00
Southeastern Regional Vocational Technical,08720000,385,99.50,0.00,0.00,0.00,0.50,0.00
Quaboag Regional,07780000,83,91.60,1.20,0.00,1.20,6.00,0.00
Westwood,03350000,210,98.60,0.50,0.00,0.00,1.00,0.00
Hingham,01310000,272,94.90,3.30,0.00,0.00,1.50,0.40
East Longmeadow,00870000,176,97.20,1.10,0.00,0.60,1.10,0.00
Marlborough,01700000,300,90.70,4.70,0.00,0.00,4.70,0.00
Reading,02460000,265,98.10,1.10,0.00,0.00,0.80,0.00
Douglas,00770000,65,98.50,1.50,0.00,0.00,0.00,0.00
Waltham,03080000,542,74.50,6.60,1.80,0.20,16.80,0.00
Lenox,01520000,60,95.00,1.70,0.00,0.00,3.30,0.00
Lunenburg,01620000,101,96.00,1.00,0.00,0.00,3.00,0.00
Georgetown,01050000,66,93.90,1.50,1.50,1.50,1.50,0.00
Lowell Middlesex Academy Charter (District),04580000,47,38.30,36.20,0.00,4.30,21.30,0.00
Hopedale,01380000,62,96.80,0.00,0.00,0.00,3.20,0.00
Dennis-Yarmouth,06450000,194,89.70,5.70,0.50,0.00,4.10,0.00
Holyoke,01370000,402,80.80,7.20,0.50,0.50,10.70,0.20
Abington,00010000,136,91.20,4.40,0.00,0.00,4.40,0.00
Quincy,02430000,802,93.90,3.20,0.00,0.20,2.60,0.00
Acton-Boxborough,06000000,408,94.40,3.40,0.00,0.20,2.00,0.00
Nashoba,07250000,206,94.20,3.90,0.00,0.50,1.50,0.00
Chicopee,00610000,548,88.10,1.50,0.00,1.50,8.90,0.00
Ayer Shirley School District,06160000,123,94.30,2.40,0.00,0.00,3.30,0.00
Blue Hills Regional Vocational Technical,08060000,218,98.20,1.80,0.00,0.00,0.00,0.00
Community Charter School of Cambridge (District),04360000,40,92.50,5.00,0.00,0.00,2.50,0.00
Springfield International Charter (District),04410000,108,94.40,0.90,0.00,0.00,4.60,0.00
Webster,03160000,109,78.00,12.80,0.00,0.00,9.20,0.00
Arlington,00100000,402,96.80,2.50,0.00,0.00,0.50,0.20
Wellesley,03170000,338,95.30,4.10,0.00,0.00,0.60,0.00
Masconomet,07050000,223,96.90,2.20,0.00,0.00,0.90,0.00
North Reading,02170000,165,97.60,1.80,0.00,0.00,0.60,0.00
Rising Tide Charter Public (District),04830000,56,92.90,1.80,0.00,1.80,3.60,0.00
