DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Uxbridge,03040000,148,87.8,7.4,0.0,1.4,3.4,0.0,33444420.0,1637.1,20429.06,38838843.53,1808.7,21472.91,12221530.0,90262.0,135.4,93.9,10.8,37.9,18.3,5.6,17.5,279.0,92.2,13.9,105.0,118.0,101.0,122.0,113.0,119.0,107.0,124.0,46.0,81.0,62.0,49.0,65.0,1212.0,493.0,495.0,491.0,31.0,35.0,13.0,4.0,5.0,5.0,301.0,304.0,85.0,42.0,42.0,36.0,270.0,269.0,72.0,38.0,37.0,30.0,112.0,93.0,41.0,16.0,13.0,17.0,100.0,99.0,96.0,306.0,322.0,111.0,43.0,45.0,47.0,45.0,51.0,719.0,719.0,237.0,555.0,556.0,8.18918918918919
Hadley,01170000,42,92.9,4.8,0.0,0.0,2.4,0.0,12984207.5,515.8,25173.49,14925104.75,623.7,23928.88,4112115.0,74766.0,55.0,94.0,10.4,41.6,16.3,3.2,6.0,115.0,93.9,10.6,32.0,39.0,41.0,38.0,45.0,31.0,42.0,20.0,38.0,15.0,24.0,19.0,28.0,412.0,499.0,499.0,500.0,18.0,19.0,7.0,8.0,8.0,9.0,118.0,105.0,42.0,51.0,46.0,56.0,100.0,86.0,35.0,43.0,38.0,47.0,26.0,24.0,7.0,11.0,10.0,9.0,99.0,99.0,100.0,86.0,100.0,26.0,37.0,44.0,35.0,58.0,56.0,230.0,229.0,75.0,175.0,175.0,9.80952380952381
Dedham,00730000,206,88.8,4.9,0.0,0.5,5.8,0.0,66912680.41,2674.0,25023.02,76095598.41,2805.0,27128.5,25907062.0,105228.0,246.2,94.0,10.5,42.1,15.7,3.4,0.0,500.0,93.2,12.2,201.0,217.0,221.0,218.0,224.0,219.0,195.0,185.0,189.0,86.0,94.0,93.0,106.0,2248.0,496.0,499.0,494.0,74.0,92.0,26.0,6.0,8.0,6.0,546.0,562.0,168.0,45.0,46.0,41.0,472.0,470.0,142.0,39.0,38.0,34.0,158.0,149.0,61.0,13.0,12.0,15.0,99.0,99.0,99.0,515.0,512.0,184.0,42.0,42.0,45.0,49.0,55.0,1219.0,1223.0,413.0,926.0,930.0,10.912621359223301
North Attleborough,02120000,315,92.4,3.2,0.0,0.0,4.4,0.0,66192554.0,3988.4,16596.29,72117826.0,4149.7,17379.26,28823729.0,95538.0,301.7,93.7,10.9,43.4,16.9,3.7,10.7,584.0,93.6,11.5,284.0,256.0,276.0,324.0,317.0,298.0,312.0,309.0,345.0,147.0,122.0,152.0,229.0,3371.0,497.0,496.0,500.0,110.0,102.0,69.0,6.0,5.0,11.0,848.0,819.0,324.0,45.0,44.0,51.0,738.0,717.0,255.0,39.0,38.0,40.0,226.0,262.0,82.0,12.0,14.0,13.0,98.0,98.0,98.0,798.0,801.0,225.0,43.0,43.0,36.0,48.0,47.0,1872.0,1882.0,631.0,1471.0,1471.0,10.7015873015873
Match Charter Public School (District),04690000,63,82.5,7.9,0.0,1.6,7.9,0.0,37549911.0,1157.6,32438.85,37549911.0,1157.6,32438.85,9952693.0,84266.0,121.6,92.7,12.7,49.7,24.4,6.1,40.8,295.0,95.5,8.3,79.0,94.0,97.0,96.0,99.0,94.0,92.0,87.0,81.0,84.0,78.0,55.0,7.0,1043.0,483.0,486.0,485.0,7.0,12.0,5.0,1.0,2.0,3.0,116.0,122.0,40.0,22.0,23.0,24.0,109.0,110.0,35.0,20.0,21.0,21.0,150.0,120.0,47.0,28.0,22.0,28.0,100.0,99.0,98.0,272.0,294.0,81.0,51.0,55.0,48.0,49.0,51.0,538.0,536.0,168.0,422.0,417.0,16.555555555555557
Brockton,00440000,1383,75.4,11.2,1.6,0.1,11.6,0.0,306932564.6,15076.6,20358.22,356258772.3,17184.7,20731.11,101057285.0,105757.0,963.1,91.8,13.7,49.9,26.9,8.2,22.7,2246.0,92.5,13.5,1280.0,1222.0,1208.0,1299.0,1202.0,1068.0,1009.0,1134.0,1192.0,683.0,471.0,505.0,633.0,12906.0,480.0,480.0,479.0,115.0,112.0,24.0,2.0,2.0,1.0,1328.0,1184.0,375.0,21.0,19.0,18.0,1213.0,1072.0,351.0,19.0,17.0,17.0,2406.0,2430.0,785.0,38.0,38.0,38.0,99.0,99.0,98.0,2647.0,2766.0,913.0,41.0,43.0,44.0,48.0,49.0,6381.0,6380.0,2073.0,4486.0,4569.0,9.331887201735357
Westborough,03210000,328,95.4,2.7,0.0,0.0,1.8,0.0,79864903.85,3889.3,20534.46,83704903.46,3952.5,21177.97,31495422.0,94609.0,332.9,94.3,9.8,38.5,15.2,3.3,13.5,675.0,93.0,11.7,220.0,270.0,250.0,297.0,264.0,293.0,281.0,311.0,299.0,139.0,140.0,136.0,177.0,3077.0,507.0,511.0,507.0,272.0,364.0,101.0,16.0,21.0,17.0,1097.0,1171.0,367.0,65.0,69.0,63.0,825.0,807.0,266.0,49.0,47.0,46.0,145.0,130.0,53.0,9.0,8.0,9.0,99.0,99.0,99.0,457.0,406.0,161.0,27.0,24.0,28.0,59.0,62.0,1699.0,1707.0,581.0,1299.0,1327.0,9.38109756097561
Quabbin,07530000,123,83.7,4.9,0.8,0.0,10.6,0.0,42105087.41,2151.7,19567.94,45793281.18,2261.3,20250.86,12548125.0,83990.0,149.4,93.4,11.5,47.4,19.0,4.1,33.2,355.0,94.7,9.2,134.0,149.0,139.0,156.0,158.0,175.0,161.0,48.0,35.0,131.0,105.0,79.0,75.0,1545.0,491.0,489.0,492.0,55.0,22.0,12.0,6.0,2.0,4.0,353.0,297.0,121.0,36.0,30.0,37.0,298.0,275.0,109.0,30.0,28.0,33.0,191.0,177.0,60.0,19.0,18.0,18.0,99.0,99.0,99.0,445.0,513.0,146.0,45.0,52.0,45.0,43.0,39.0,989.0,987.0,327.0,776.0,775.0,12.560975609756097
Everett,00930000,667,78.0,8.1,0.1,0.3,13.5,0.0,155574402.0,7416.1,20977.83,180693040.8,8302.0,21764.93,65017436.0,112487.0,578.0,91.2,13.9,53.2,32.1,9.7,43.6,969.0,96.6,6.3,495.0,516.0,516.0,520.0,512.0,567.0,490.0,534.0,535.0,295.0,303.0,318.0,286.0,5887.0,480.0,482.0,481.0,42.0,61.0,15.0,1.0,2.0,1.0,624.0,551.0,222.0,21.0,19.0,22.0,582.0,490.0,207.0,20.0,16.0,20.0,1066.0,946.0,366.0,36.0,32.0,36.0,100.0,100.0,99.0,1288.0,1476.0,437.0,43.0,50.0,43.0,51.0,47.0,2978.0,2973.0,1025.0,2214.0,2230.0,8.826086956521738
Longmeadow,01590000,233,96.6,3.0,0.0,0.0,0.4,0.0,49174721.91,2776.9,17708.39,53534359.28,2826.5,18939.86,20554822.0,84103.0,244.4,95.1,8.7,33.9,9.9,1.3,0.6,450.0,93.4,12.3,181.0,177.0,203.0,199.0,182.0,200.0,223.0,219.0,223.0,81.0,104.0,91.0,94.0,2177.0,503.0,506.0,506.0,116.0,154.0,51.0,9.0,12.0,12.0,722.0,768.0,265.0,59.0,62.0,63.0,606.0,614.0,214.0,49.0,50.0,51.0,99.0,76.0,28.0,8.0,6.0,7.0,98.0,98.0,98.0,411.0,393.0,127.0,33.0,32.0,30.0,46.0,50.0,1232.0,1237.0,420.0,977.0,982.0,9.343347639484978
Ashland,00140000,224,91.5,0.9,2.2,0.4,4.9,0.0,48750931.08,2914.8,16725.12,53207414.57,2968.8,17922.3,20917446.0,94563.0,221.2,94.7,9.3,36.4,13.4,2.4,7.1,390.0,94.1,10.8,179.0,218.0,177.0,234.0,241.0,198.0,232.0,236.0,222.0,181.0,135.0,136.0,109.0,2498.0,501.0,504.0,502.0,154.0,216.0,56.0,11.0,16.0,14.0,727.0,746.0,226.0,54.0,55.0,55.0,573.0,530.0,170.0,42.0,39.0,41.0,168.0,154.0,48.0,12.0,11.0,12.0,99.0,99.0,98.0,456.0,451.0,136.0,34.0,33.0,33.0,55.0,57.0,1351.0,1351.0,410.0,1061.0,1061.0,11.151785714285714
Danvers,00710000,195,92.3,4.6,0.0,0.0,3.1,0.0,65157358.18,3304.8,19716.21,74994769.16,3451.5,21728.28,26523813.0,97514.0,272.0,93.8,10.8,40.9,15.5,3.7,32.5,575.0,94.0,11.1,224.0,265.0,269.0,254.0,308.0,266.0,269.0,224.0,256.0,129.0,158.0,130.0,132.0,2884.0,491.0,494.0,492.0,51.0,78.0,21.0,3.0,5.0,4.0,570.0,587.0,208.0,37.0,38.0,41.0,519.0,509.0,187.0,33.0,33.0,37.0,301.0,243.0,97.0,19.0,16.0,19.0,98.0,98.0,97.0,690.0,725.0,206.0,44.0,47.0,40.0,42.0,43.0,1561.0,1555.0,511.0,1231.0,1226.0,14.78974358974359
Fitchburg,00970000,387,84.8,5.9,0.3,0.3,8.8,0.0,107395145.5,5147.0,20865.76,128755298.5,5895.3,21840.48,37922010.0,84723.0,447.6,90.5,15.7,59.9,36.2,10.2,47.6,854.0,94.3,10.6,439.0,386.0,450.0,401.0,410.0,434.0,468.0,374.0,402.0,283.0,222.0,163.0,133.0,4565.0,482.0,483.0,479.0,74.0,59.0,21.0,3.0,2.0,3.0,624.0,551.0,163.0,26.0,23.0,20.0,550.0,492.0,142.0,23.0,20.0,18.0,811.0,760.0,319.0,33.0,31.0,39.0,99.0,99.0,98.0,987.0,1104.0,329.0,41.0,46.0,41.0,45.0,43.0,2422.0,2415.0,811.0,1751.0,1754.0,11.795865633074936
Minuteman Regional Vocational Technical,08300000,177,95.5,0.6,0.0,0.0,4.0,0.0,24805529.0,667.3,37170.81,24973005.0,669.3,37309.96,9190006.0,111529.0,82.4,94.0,10.5,46.8,15.1,1.8,24.4,134.0,94.2,10.8,,,,,,,,,,112.0,51.0,63.0,50.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5593220338983051
Whittier Regional Vocational Technical,08850000,310,99.0,0.0,0.0,0.3,0.6,0.0,32198204.0,1275.6,25241.61,32228572.0,1279.6,25186.44,12172602.0,98008.0,124.2,94.0,10.7,39.4,15.3,3.3,3.2,159.0,95.3,8.6,,,,,,,,,,2.0,9.0,153.0,135.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964516129032258
Dartmouth,00720000,249,92.4,3.2,0.0,0.4,4.0,0.0,61546955.5,3394.6,18131.08,67798926.27,3506.5,19335.48,25734530.0,93106.0,276.4,94.2,10.2,39.2,13.4,3.1,22.3,507.0,92.3,14.3,195.0,238.0,242.0,268.0,254.0,281.0,269.0,228.0,207.0,159.0,161.0,142.0,151.0,2795.0,500.0,502.0,496.0,120.0,132.0,31.0,7.0,8.0,6.0,826.0,870.0,242.0,51.0,54.0,45.0,706.0,738.0,211.0,44.0,46.0,40.0,182.0,138.0,69.0,11.0,9.0,13.0,99.0,98.0,98.0,597.0,589.0,223.0,37.0,37.0,42.0,52.0,53.0,1605.0,1597.0,534.0,1262.0,1257.0,11.224899598393574
Palmer,02270000,78,94.9,3.8,1.3,0.0,0.0,0.0,24578476.09,1061.5,23154.6,29088490.03,1233.9,23575.39,8236370.0,80277.0,102.6,93.7,10.5,38.9,16.8,5.2,38.9,228.0,92.2,13.6,84.0,90.0,92.0,88.0,104.0,68.0,93.0,112.0,91.0,22.0,29.0,20.0,45.0,938.0,485.0,488.0,487.0,8.0,17.0,4.0,1.0,3.0,3.0,143.0,159.0,43.0,26.0,29.0,27.0,135.0,142.0,39.0,24.0,26.0,24.0,156.0,119.0,44.0,28.0,22.0,28.0,98.0,98.0,98.0,253.0,272.0,73.0,46.0,49.0,46.0,45.0,47.0,552.0,550.0,160.0,414.0,416.0,12.025641025641026
Burlington,00480000,247,93.5,1.6,0.0,0.0,4.9,0.0,88964890.0,3544.2,25101.58,101223928.9,3650.1,27731.65,34897434.0,106851.0,326.6,94.2,10.0,38.9,14.3,2.9,11.3,643.0,92.6,13.8,0.0,288.0,273.0,302.0,284.0,276.0,272.0,282.0,291.0,92.0,85.0,67.0,105.0,2617.0,500.0,501.0,496.0,148.0,177.0,29.0,9.0,10.0,5.0,879.0,904.0,254.0,52.0,53.0,46.0,731.0,727.0,225.0,43.0,43.0,40.0,206.0,186.0,79.0,12.0,11.0,14.0,99.0,99.0,98.0,610.0,606.0,224.0,36.0,36.0,40.0,53.0,49.0,1695.0,1696.0,557.0,1321.0,1325.0,10.595141700404858
Braintree,00400000,448,95.5,0.7,0.0,0.0,3.8,0.0,103873561.3,5313.5,19549.01,113517385.5,5449.9,20829.08,42505676.0,102103.0,416.3,94.7,8.9,33.4,11.6,3.0,0.0,773.0,93.9,11.0,317.0,331.0,383.0,424.0,396.0,373.0,428.0,393.0,393.0,215.0,259.0,216.0,201.0,4329.0,500.0,504.0,504.0,230.0,297.0,116.0,9.0,12.0,15.0,1271.0,1404.0,470.0,52.0,57.0,59.0,1041.0,1107.0,354.0,42.0,45.0,44.0,290.0,241.0,77.0,12.0,10.0,10.0,99.0,99.0,99.0,904.0,823.0,253.0,37.0,33.0,32.0,50.0,54.0,2465.0,2468.0,800.0,1895.0,1909.0,9.662946428571429
Lawrence,01490000,1004,82.2,7.1,0.2,0.1,10.5,0.0,313010435.6,13351.5,23443.9,364032614.6,15499.6,23486.62,97151679.0,84516.0,1149.5,92.1,13.6,48.3,23.3,7.3,5.2,2442.0,91.9,15.0,671.0,1044.0,999.0,971.0,1011.0,971.0,890.0,923.0,963.0,560.0,521.0,470.0,461.0,10455.0,477.0,481.0,478.0,103.0,127.0,30.0,2.0,2.0,2.0,1032.0,1093.0,336.0,18.0,19.0,17.0,929.0,966.0,306.0,16.0,17.0,16.0,2384.0,2081.0,788.0,41.0,36.0,40.0,100.0,100.0,99.0,2427.0,2673.0,846.0,42.0,46.0,43.0,51.0,53.0,5843.0,5847.0,1970.0,4228.0,4298.0,10.413346613545817
West Springfield,03320000,291,91.4,3.1,0.0,0.7,4.8,0.0,75123216.57,4004.2,18760.97,83837999.84,4244.6,19751.82,28502881.0,83026.0,343.3,93.6,10.9,42.5,19.1,4.4,17.3,711.0,90.7,16.5,237.0,260.0,289.0,267.0,305.0,297.0,277.0,276.0,287.0,266.0,192.0,218.0,133.0,3304.0,489.0,491.0,488.0,74.0,85.0,24.0,4.0,5.0,4.0,609.0,606.0,186.0,35.0,35.0,31.0,535.0,521.0,162.0,31.0,30.0,27.0,427.0,354.0,149.0,24.0,20.0,25.0,100.0,99.0,99.0,712.0,784.0,256.0,41.0,45.0,43.0,47.0,46.0,1748.0,1744.0,591.0,1314.0,1340.0,11.353951890034365
Southbridge,02770000,126,78.6,4.8,2.4,0.0,14.3,0.0,46430703.01,1888.6,24585.3,54818209.11,2306.3,23768.91,12962180.0,75714.0,171.2,89.9,16.4,60.2,36.9,12.3,49.6,441.0,94.0,10.7,179.0,168.0,123.0,131.0,149.0,142.0,104.0,131.0,143.0,99.0,89.0,81.0,91.0,1630.0,475.0,473.0,473.0,14.0,6.0,0.0,2.0,1.0,0.0,112.0,83.0,31.0,14.0,10.0,11.0,98.0,77.0,31.0,12.0,9.0,11.0,378.0,403.0,130.0,46.0,49.0,45.0,99.0,99.0,98.0,333.0,337.0,129.0,40.0,41.0,44.0,48.0,50.0,823.0,823.0,290.0,594.0,594.0,12.936507936507937
Berlin-Boylston,06200000,60,98.3,0.0,0.0,0.0,1.7,0.0,21750000.0,1096.7,19832.32,24479577.03,1166.3,20989.43,7837913.0,85102.0,92.1,94.8,9.0,36.2,9.9,1.9,22.8,195.0,93.7,11.3,88.0,89.0,98.0,96.0,82.0,93.0,77.0,82.0,73.0,36.0,36.0,29.0,41.0,920.0,504.0,504.0,504.0,60.0,59.0,17.0,12.0,11.0,10.0,294.0,306.0,102.0,57.0,60.0,59.0,234.0,247.0,85.0,46.0,48.0,49.0,46.0,47.0,17.0,9.0,9.0,10.0,100.0,100.0,100.0,174.0,161.0,54.0,34.0,31.0,31.0,52.0,51.0,514.0,514.0,173.0,396.0,399.0,15.333333333333334
Easthampton,00860000,101,93.1,2.0,0.0,1.0,4.0,0.0,24386250.69,1403.7,17372.49,31513810.75,1711.7,18410.6,8849917.0,75127.0,117.8,93.3,11.7,48.2,20.1,3.9,12.6,245.0,91.8,14.9,87.0,85.0,103.0,100.0,120.0,123.0,114.0,108.0,106.0,77.0,65.0,41.0,63.0,1192.0,488.0,491.0,492.0,16.0,16.0,7.0,2.0,2.0,3.0,203.0,228.0,79.0,31.0,35.0,36.0,187.0,212.0,72.0,29.0,33.0,33.0,143.0,118.0,33.0,22.0,18.0,15.0,96.0,96.0,94.0,305.0,304.0,105.0,47.0,47.0,48.0,40.0,46.0,651.0,650.0,217.0,526.0,531.0,11.801980198019802
Sharon,02660000,281,95.7,2.8,0.0,0.4,1.1,0.0,73300915.13,3568.5,20541.26,80118141.94,3648.6,21958.86,28044261.0,102426.0,273.8,95.2,8.5,30.9,9.8,1.7,5.6,554.0,93.2,12.3,206.0,215.0,248.0,230.0,249.0,276.0,292.0,258.0,267.0,221.0,232.0,135.0,149.0,2978.0,508.0,512.0,511.0,208.0,328.0,104.0,13.0,21.0,19.0,1044.0,1060.0,392.0,67.0,68.0,72.0,836.0,732.0,288.0,54.0,47.0,53.0,84.0,77.0,30.0,5.0,5.0,6.0,99.0,99.0,99.0,425.0,416.0,121.0,27.0,27.0,22.0,53.0,51.0,1553.0,1553.0,543.0,1276.0,1279.0,10.597864768683275
Lexington,01550000,598,98.2,1.8,0.0,0.0,0.0,0.0,178521640.5,6828.4,26144.06,193203807.2,6941.8,27831.89,69774605.0,107428.0,649.5,95.4,8.3,30.7,9.4,1.8,5.4,1398.0,92.1,14.3,325.0,409.0,401.0,470.0,455.0,526.0,566.0,557.0,562.0,508.0,481.0,447.0,521.0,6228.0,516.0,519.0,515.0,884.0,1120.0,295.0,28.0,36.0,27.0,2376.0,2451.0,839.0,75.0,78.0,76.0,1492.0,1331.0,544.0,47.0,42.0,49.0,185.0,179.0,55.0,6.0,6.0,5.0,99.0,99.0,99.0,588.0,519.0,205.0,19.0,16.0,19.0,62.0,59.0,3149.0,3149.0,1099.0,2493.0,2509.0,10.414715719063546
Peabody,02290000,399,83.7,8.0,0.3,0.3,7.8,0.0,113078477.8,5905.6,19147.58,128983015.4,6252.8,20628.2,44530723.0,92811.0,479.8,92.9,12.4,50.9,22.6,4.9,49.1,887.0,95.2,8.3,446.0,478.0,457.0,511.0,437.0,459.0,457.0,414.0,440.0,132.0,131.0,167.0,226.0,4755.0,486.0,489.0,487.0,49.0,82.0,30.0,2.0,3.0,3.0,800.0,831.0,295.0,30.0,31.0,33.0,751.0,749.0,265.0,28.0,28.0,29.0,692.0,588.0,232.0,26.0,22.0,26.0,100.0,98.0,99.0,1218.0,1239.0,374.0,45.0,47.0,42.0,45.0,50.0,2710.0,2658.0,901.0,2034.0,2010.0,11.917293233082706
Wakefield,03050000,221,95.5,1.8,0.0,0.5,2.3,0.0,67879388.0,3353.6,20240.99,72416871.54,3491.1,20743.16,27240233.0,94881.0,287.1,92.0,14.5,69.6,21.1,3.6,13.8,538.0,94.6,10.0,262.0,273.0,233.0,258.0,291.0,252.0,262.0,265.0,267.0,189.0,153.0,111.0,137.0,2953.0,502.0,501.0,502.0,152.0,151.0,59.0,9.0,9.0,11.0,883.0,852.0,293.0,55.0,53.0,56.0,731.0,701.0,234.0,46.0,44.0,44.0,171.0,162.0,55.0,11.0,10.0,10.0,99.0,99.0,99.0,551.0,596.0,179.0,34.0,37.0,34.0,53.0,51.0,1605.0,1610.0,527.0,1283.0,1284.0,13.361990950226245
Assabet Valley Regional Vocational Technical,08010000,274,98.5,0.0,0.0,0.0,1.5,0.0,31780934.07,1098.5,28932.09,31848954.27,1101.2,28921.34,11523431.0,101260.0,113.8,91.6,15.0,55.8,27.7,7.5,38.0,179.0,95.3,8.8,,,,,,,,,,116.0,111.0,99.0,140.0,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7007299270072993
Somerville,02740000,397,86.1,4.0,0.0,0.3,9.6,0.0,136354106.8,4974.7,27409.51,152133921.9,5355.6,28406.68,46160440.0,104743.0,440.7,92.8,12.0,44.1,19.3,5.8,32.2,832.0,92.2,14.5,348.0,375.0,334.0,374.0,362.0,380.0,350.0,299.0,335.0,283.0,266.0,169.0,188.0,4063.0,491.0,488.0,492.0,208.0,168.0,73.0,10.0,8.0,11.0,816.0,679.0,279.0,39.0,33.0,40.0,608.0,511.0,206.0,29.0,25.0,30.0,558.0,634.0,184.0,27.0,30.0,27.0,99.0,99.0,97.0,696.0,771.0,229.0,34.0,37.0,33.0,51.0,51.0,2070.0,2084.0,692.0,1557.0,1576.0,10.23425692695214
Newton,02070000,1021,95.5,3.0,0.0,0.1,1.4,0.0,301725884.4,11764.7,25646.73,316628861.6,11918.0,26567.23,110872817.0,104716.0,1058.8,94.8,9.1,34.5,11.3,2.3,7.6,2445.0,93.8,11.3,707.0,748.0,784.0,836.0,887.0,876.0,890.0,852.0,910.0,517.0,572.0,420.0,433.0,9432.0,508.0,511.0,509.0,895.0,1132.0,325.0,17.0,22.0,19.0,3428.0,3578.0,1209.0,66.0,69.0,69.0,2533.0,2446.0,884.0,49.0,47.0,51.0,431.0,383.0,116.0,8.0,7.0,7.0,99.0,99.0,99.0,1301.0,1196.0,421.0,25.0,23.0,24.0,58.0,60.0,5160.0,5157.0,1746.0,4037.0,4083.0,9.238001958863858
Needham,01990000,420,97.9,1.7,0.0,0.0,0.5,0.0,131859100.7,5570.5,23670.8,141258053.0,5666.6,24928.34,45784959.0,101790.0,449.8,95.7,7.7,26.1,6.7,1.3,0.4,1016.0,94.3,10.3,391.0,383.0,442.0,408.0,428.0,425.0,444.0,424.0,420.0,406.0,363.0,239.0,216.0,4989.0,513.0,513.0,510.0,558.0,540.0,158.0,22.0,21.0,19.0,1849.0,1903.0,602.0,72.0,74.0,71.0,1291.0,1363.0,444.0,50.0,53.0,52.0,122.0,112.0,55.0,5.0,4.0,6.0,99.0,99.0,98.0,588.0,553.0,192.0,23.0,22.0,23.0,61.0,63.0,2559.0,2568.0,849.0,2057.0,2069.0,11.878571428571428
Chelsea,00570000,511,70.1,14.1,0.0,0.4,15.5,0.0,139364192.8,6184.2,22535.44,178021304.8,7293.8,24407.2,43935566.0,89573.0,490.5,88.7,18.8,59.0,36.0,15.0,53.8,988.0,92.6,13.9,454.0,446.0,467.0,496.0,460.0,408.0,429.0,439.0,408.0,354.0,278.0,223.0,219.0,5081.0,478.0,481.0,477.0,27.0,74.0,8.0,1.0,3.0,1.0,458.0,506.0,107.0,18.0,20.0,14.0,431.0,432.0,99.0,17.0,17.0,13.0,980.0,935.0,303.0,39.0,37.0,38.0,99.0,99.0,99.0,1080.0,1077.0,378.0,43.0,43.0,48.0,49.0,42.0,2518.0,2518.0,788.0,1828.0,1842.0,9.943248532289628
Leominster,01530000,493,90.9,3.2,0.0,0.2,5.7,0.0,113294283.3,6007.0,18860.45,125393434.3,6393.9,19611.45,39024054.0,88631.0,440.3,92.7,12.5,49.1,22.4,5.4,39.2,984.0,93.8,10.8,154.0,410.0,418.0,491.0,430.0,465.0,488.0,467.0,434.0,302.0,260.0,183.0,180.0,4682.0,491.0,492.0,491.0,142.0,159.0,41.0,5.0,6.0,5.0,1004.0,964.0,318.0,36.0,35.0,35.0,862.0,805.0,277.0,31.0,29.0,31.0,591.0,566.0,182.0,21.0,20.0,20.0,100.0,100.0,99.0,1171.0,1231.0,400.0,42.0,45.0,44.0,53.0,50.0,2766.0,2761.0,900.0,2030.0,2034.0,9.496957403651116
Innovation Academy Charter (District),04350000,94,94.7,3.2,0.0,0.0,2.1,0.0,14435529.0,790.5,18260.34,14435529.0,790.5,18260.34,4886565.0,68753.0,70.9,92.8,12.9,51.9,18.8,5.7,16.6,138.0,95.9,7.2,,,,,,104.0,101.0,101.0,100.0,62.0,77.0,66.0,54.0,665.0,494.0,491.0,488.0,15.0,13.0,6.0,4.0,3.0,3.0,164.0,122.0,53.0,41.0,31.0,27.0,149.0,109.0,47.0,38.0,28.0,24.0,54.0,57.0,36.0,14.0,14.0,18.0,98.0,98.0,97.0,179.0,215.0,108.0,45.0,55.0,55.0,46.0,39.0,397.0,394.0,197.0,383.0,377.0,7.074468085106383
Maynard,01740000,85,91.8,0.0,0.0,1.2,7.1,0.0,29128979.04,1218.4,23906.8,33934811.69,1384.8,24505.4,10304411.0,88985.0,115.8,94.4,9.8,35.1,14.5,3.4,12.3,234.0,91.0,17.0,103.0,112.0,92.0,97.0,93.0,93.0,82.0,98.0,90.0,66.0,47.0,57.0,53.0,1083.0,492.0,490.0,498.0,20.0,16.0,12.0,4.0,3.0,6.0,226.0,175.0,92.0,41.0,32.0,50.0,206.0,159.0,80.0,37.0,29.0,43.0,97.0,92.0,22.0,18.0,17.0,12.0,99.0,98.0,98.0,229.0,279.0,71.0,41.0,51.0,38.0,49.0,46.0,552.0,546.0,185.0,434.0,429.0,12.741176470588234
