District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Bourne,00360000,MATH,         224,30,          17,2,         207,28,         406,54,         118,16,         748,99,     490,          54,         590
Bourne,00360000,SCI,          77,31,          12,5,          65,26,         130,52,          43,17,         250,97,     491,,
Boxford,00380000,ELA,         224,55,          27,7,         197,48,         166,40,          21,5,         411,99,     502,          50,         296
Boxford,00380000,MATH,         233,57,          37,9,         196,48,         154,38,          23,6,         410,99,     504,          58,         298
Boxford,00380000,SCI,          66,62,          17,16,          49,46,          38,36,           3,3,         107,99,     506,,
Braintree,00400000,ELA,"       1,271",52,         230,9,"       1,041",42,         904,37,         290,12,"       2,465",99,     500,          50,"       1,895"
Braintree,00400000,MATH,"       1,404",57,         297,12,"       1,107",45,         823,33,         241,10,"       2,468",99,     504,          54,"       1,909"
Braintree,00400000,SCI,         470,59,         116,15,         354,44,         253,32,          77,10,         800,99,     504,,
Brewster,00410000,ELA,          97,50,          12,6,          85,44,          82,42,          16,8,         195,98,     499,          45,         119
Brewster,00410000,MATH,         107,55,          16,8,          91,47,          65,34,          22,11,         194,97,     502,          54,         120
Brewster,00410000,SCI,          41,60,           7,10,          34,50,          18,26,           9,13,          68,100,     503,,
Bridge Boston Charter School (District),04170000,ELA,          62,33,           2,1,          60,32,         102,55,          23,12,         187,100,     490,          56,         144
Bridge Boston Charter School (District),04170000,MATH,          65,35,           2,1,          63,34,         103,55,          19,10,         187,100,     494,          58,         144
Bridge Boston Charter School (District),04170000,SCI,          10,18,           1,2,           9,16,          26,46,          20,36,          56,100,     479,,
Bridgewater-Raynham,06250000,ELA,         990,36,         101,4,         889,32,"       1,287",47,         472,17,"       2,749",99,     492,          44,"       2,157"
Bridgewater-Raynham,06250000,MATH,"       1,081",39,         117,4,         964,35,"       1,291",47,         376,14,"       2,748",99,     494,          46,"       2,161"
Bridgewater-Raynham,06250000,SCI,         303,34,          19,2,         284,32,         433,49,         155,17,         891,99,     490,,
Brimfield,00430000,ELA,          72,52,           9,7,          63,46,          59,43,           7,5,         138,100,     503,          52,         102
Brimfield,00430000,MATH,          96,70,          14,10,          82,59,          39,28,           3,2,         138,100,     508,          67,         104
Brimfield,00430000,SCI,          31,69,           4,9,          27,60,          11,24,           3,7,          45,100,     505,,
Brockton,00440000,ELA,"       1,328",21,         115,2,"       1,213",19,"       2,647",41,"       2,406",38,"       6,381",99,     480,          48,"       4,486"
Brockton,00440000,MATH,"       1,184",19,         112,2,"       1,072",17,"       2,766",43,"       2,430",38,"       6,380",99,     480,          49,"       4,569"
Brockton,00440000,SCI,         375,18,          24,1,         351,17,         913,44,         785,38,"       2,073",98,     479,,
Brooke Charter School (District),04280000,ELA,         744,65,         189,17,         555,49,         346,30,          47,4,"       1,137",100,     509,          65,         897
Brooke Charter School (District),04280000,MATH,         797,70,         213,19,         584,51,         289,25,          49,4,"       1,135",100,     511,          64,         896
Brooke Charter School (District),04280000,SCI,         231,62,          57,15,         174,46,         121,32,          23,6,         375,100,     506,,
Brookfield,00450000,ELA,          72,45,           5,3,          67,42,          80,50,           8,5,         160,100,     498,          44,         117
Brookfield,00450000,MATH,          83,52,          16,10,          67,42,          63,40,          13,8,         159,100,     502,          62,         118
Brookfield,00450000,SCI,          27,73,           7,19,          20,54,           9,24,           1,3,          37,97,     510,,
Brookline,00460000,ELA,"       2,024",69,         567,19,"       1,457",50,         704,24,         192,7,"       2,920",99,     510,          60,"       2,225"
Brookline,00460000,MATH,"       2,067",71,         679,23,"       1,388",48,         651,22,         201,7,"       2,919",99,     512,          61,"       2,275"
Brookline,00460000,SCI,         648,68,         185,20,         463,49,         229,24,          70,7,         947,99,     509,,
Burlington,00480000,ELA,         879,52,         148,9,         731,43,         610,36,         206,12,"       1,695",99,     500,          53,"       1,321"
Burlington,00480000,MATH,         904,53,         177,10,         727,43,         606,36,         186,11,"       1,696",99,     501,          49,"       1,325"
Burlington,00480000,SCI,         254,46,          29,5,         225,40,         224,40,          79,14,         557,98,     496,,
Cambridge,00490000,ELA,"       1,601",58,         475,17,"       1,126",41,         799,29,         341,12,"       2,741",98,     505,          56,"       1,991"
Cambridge,00490000,MATH,"       1,541",56,         458,17,"       1,083",39,         835,30,         368,13,"       2,744",98,     504,          54,"       2,036"
Cambridge,00490000,SCI,         464,54,         128,15,         336,39,         260,30,         133,16,         857,97,     501,,
Canton,00500000,ELA,         873,58,         164,11,         709,47,         486,33,         134,9,"       1,493",99,     503,          52,"       1,169"
Canton,00500000,MATH,         906,61,         192,13,         714,48,         461,31,         124,8,"       1,491",99,     506,          54,"       1,180"
Canton,00500000,SCI,         289,59,          62,13,         227,46,         169,34,          34,7,         492,99,     503,,
Cape Cod Lighthouse Charter (District),04320000,ELA,         133,54,          27,11,         106,43,          91,37,          24,10,         248,98,     501,          53,         227
Cape Cod Lighthouse Charter (District),04320000,MATH,          83,33,          10,4,          73,29,         126,51,          39,16,         248,99,     493,          38,         227
Cape Cod Lighthouse Charter (District),04320000,SCI,          32,38,           1,1,          31,37,          44,52,           8,10,          84,100,     495,,
Carlisle,00510000,ELA,         320,78,          89,22,         231,56,          81,20,          11,3,         412,100,     514,          60,         321
Carlisle,00510000,MATH,         315,76,         107,26,         208,50,          83,20,          15,4,         413,100,     515,          57,         321
Carlisle,00510000,SCI,         113,84,          33,24,          80,59,          17,13,           5,4,         135,100,     516,,
Carver,00520000,ELA,         222,32,           6,1,         216,31,         352,51,         118,17,         692,97,     491,          44,         530
Carver,00520000,MATH,         268,39,          20,3,         248,36,         338,49,          82,12,         688,96,     495,          52,         528
Carver,00520000,SCI,          84,36,           4,2,          80,34,         121,52,          29,12,         234,89,     493,,
