District Name,District Code,# in Cohort,Percentage Graduated,Percentage Still in School,Percentage Non-Grad Completers,Percentage H.S. Equiv.,Percentage Dropped Out,Percentage Permanently Excluded
Watertown,03140000,       209,    87.6,     4.8,     0.0,     0.0,     7.7,     0.0
Wayland,03150000,       223,    97.3,     1.8,     0.9,     0.0,     0.0,     0.0
Webster,03160000,       109,    78.0,    12.8,     0.0,     0.0,     9.2,     0.0
Wellesley,03170000,       338,    95.3,     4.1,     0.0,     0.0,     0.6,     0.0
West Boylston,03220000,        51,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
West Bridgewater,03230000,       100,    95.0,     3.0,     0.0,     0.0,     2.0,     0.0
West Springfield,03320000,       291,    91.4,     3.1,     0.0,     0.7,     4.8,     0.0
Westborough,03210000,       328,    95.4,     2.7,     0.0,     0.0,     1.8,     0.0
Westfield,03250000,       422,    91.7,     2.1,     0.7,     0.0,     5.5,     0.0
Westford,03260000,       375,    97.9,     1.6,     0.0,     0.3,     0.3,     0.0
Weston,03300000,       173,    97.7,     2.3,     0.0,     0.0,     0.0,     0.0
Westport,03310000,        96,    96.9,     0.0,     0.0,     1.0,     2.1,     0.0
